text,level
"Surrounded by swooping birds and the distant moos of the cows, the billowing sails would send us off with the wind.",C2
The presentation of prizes and certificates will take place in the auditorium.,B2
Heppner has been hailed as one of the finest tenors in the operatic world today.,C2
He accidentally knocked the vase off the table.,B1
One of the men suddenly produced a gun from his pocket.,C1
He's a brilliant performer.,B1
"I'm sorry, the post has already been filled.",C1
I write down my thoughts in my diary every night.,A2
"Finally, after much walking back and forth, we found a road, which we followed till we got to the town.",C2
Officials are concerned by the low level of economic activity.,B2
"In contrast to your allegations, our study shows that a vast majority (78%) use Greendale Park for recreation as often as once a week.",C1
"Whatever the problem is, keep your cool, don't panic.",C1
The game hung in the balance until the last seconds.,C2
He's perhaps a shade taller.,C2
"It reminded her of their far-away, carefree youth when they were energetic, healthy and full of hope.",C2
I made a bid of $150 for the painting.,C2
We saddled our horses and rode off.,C2
She's a very capable young woman.,B2
Check the words you hear on the recording.,A1
"My heart was broken by a knife, a sharp, hot knife, but I don't feel pain, I don't feel anything, I just want to die and forget about everything.",B1
The medicine should take effect quickly.,C1
"In the same way, grandmothers may be shocked when seeing their little children wearing extravagant clothes or really short skirts.",C1
The meeting was addressed by an expert in South American affairs.,B2
I love learning new languages.,A1
The fruits of economic growth are starting to make a difference in the lives of many workers.,C2
"To sum up, I would like to say that instead of engaging in relentless debates about the problem it would be infinitely preferable to take action as soon as possible.",C2
There is a good selection of bar food.,B2
The twins are in day care three afternoons a week.,C1
"I meant to tell her you had phoned, but it completely slipped my mind.",C2
"Since bicycles became so popular, there has been an increase in the number of accidents.",B2
"I've just watched the Rugby World Cup final with my dad. Did you watch it? I hope so, because it was just fantastic.",A2
"There is also migration, people from little villages in the interior migrate to the coast.",C1
These warriors used spears made from iron.,C1
"Hi, as you know I had a car crash and my car is damaged.",B1
You should also go to see a doctor and ask him to give a prescription for some sleeping pills.,B1
She felt happy when I was down in the dumps or in a fix and kept on being jealous of me concerning trivial matters.,C2
These creatures could soon be extinct.,C1
I promise not to do any damage!,B2
The early 1990s saw the spread of democracy in Eastern Europe.,B2
"As a result, he does not allow himself to demonstrate any emotion apart from anger.",C2
The festival starts with a huge opening parade.,B2
She always gets her own way in the end.,C1
"I stood up and many of my companions clapped their hands, although some of them whistled in a very rude way.",B2
He is generally believed to be their best player.,B2
"We have four people in our car, but we could squeeze one more person in the back.",B2
I firmly believe that some of the things you mentioned are wrong.,B2
"This could in fact lead to a repetition of the mistakes of the past, when the paralyzed United Nations were, due to the small number and influence of neutral countries, a mere bystander to the risky arms-race fought out between the two nuclear superpowers.",C2
"It is a vast resource of information, but the abuse of it may have detrimental consequences.",C1
Do you mean the guy with the blond hair and glasses?,A2
Harry Potter fought with the giant snake and he won.,B1
He has hired two lawyers to defend him in court.,C1
Thank you so much for your help!,A2
"In the past, a very cold winter and hail would destroy the crops and kill hundreds of families; and, moreover, people had little protection against the attacks of wild animals.",C2
I hope you will have a wonderful time.,A2
It poisons the air with its fumes and these damage the people's health.,B2
The girl's disappearance leads him to think she was taken away.,C2
We walked to the next beach to get away from the crowds.,B2
Another way of combating the problem is to create recreational centers in which unemployed people can spend their time.,C2
"Since both the hardware and software components used by the employees of this department are not in a good state, there is a need of brand new and more powerful computers and of updated software.",C1
"As a student, I feel concerned about the traffic issue and I asked some people about their viewpoints on the two proposals.",C1
Modern technology also affects my life positively in the lab I work for.,B2
"In the interest of safety, passengers are advised to wear their seat belts at all times.",C2
She lacks confidence and I think that has to do with her childhood.,B2
I got some free movie tickets.,A2
Two girls showed us around the classrooms.,A1
I struggle to balance work and family commitments.,B2
"In the financial sector, banks and insurance companies have both lost a lot of money.",C1
We rowed to the other side of the lake.,B2
What's the What's today's date?,A1
He said that my school principal would like to see me that day and it was urgent.,A2
Can we expect to see the world unemployment rate reach as high as fifty percent?,C1
You can read the text from a song on screen and then you can sing the song.,A2
"If it would be possible for you, I can attend another class at any time which is convenient for you.",B1
"There are 1500 people at my school, counting teachers.",C2
I must say that the advertisement for the show included a lot of false information.,B1
Okonkwo serves to exemplify to the reader the consequences that the Igbo people were suffering.,C2
"To have long-liv[ed] people is to have more people to be housed, fed, educated, hospitalized, etc.",C2
"If you don't know the past, you're liable to live through it again as instead of deriving the lessons from someone else's experiences, you'll have to learn them the hard way, by trial and error.",C2
This should be done by lowering taxes and preparing other incentives for potential investors.,B2
I think we've chosen the right person to lead the expedition.,B2
She spends a great deal of her time in Glasgow.,B2
I asked my neighbor to water the plants while I'm away.,B2
She fastened her belt around her waist.,A2
I know it sounds strange but there's a sensible reason: money talks.,B1
"They have several pets - a dog, two cats and a guinea pig.",A1
The card contained a short rhyme.,C2
"Despite the devastating news, no one is giving up hope.",C1
The first year of the course is divided into four units.,B1
"She really needed someone by her side, someone to lean on and share her worries.",C2
She has very bad posture.,C1
Your house is always so neat - how do you manage it with three children?,B1
She couldn't make out how to get out of the muddle she wa] in.,C2
"To improve the general knowledge of the students, it might be a good idea to offer more newspapers than magazines.",B2
"I must admit that, at first sight, I did not feel like reading it, but later I made up my mind and decided to accept your invitation.",C1
"Almost in despair, I came out of the bathroom and tried my best to look for a candle.",B2
I froze with terror.,B2
Everything seems more expensive nowadays.,B1
Do you remember the swing by the big tree in my garden?,B2
She never reads a newspaper.,A1
You can download the manual for the computer if you need to.,B2
I told him it was a matter of life and death.,C2
I will be pleased to meet you.,A2
"Thus, when I pick one of these stones, I cast my mind back to the specific place where I found it, the person I was, the particular moment.",C2
The two sides have agreed to engage in talks.,C2
Woods didn't approve of the government's attitude to them.,B2
I feel sick to my stomach.,C2
The best way to come to my place is to take a train from Weybridge.,A1
Although I am very happy with the current design of my house I may make some modifications in the future.,C1
We saw parrots flying wild in the jungle.,B1
"I am going to have a competition tomorrow, and my bicycle got a flat tire and I don't have money to fix it.",A2
Could we convert the small bedroom into a second bathroom?,B2
Who's your hairdresser?,B1
I have to dress nicely for work.,B1
The machine emits a high-pitched sound when you press the button.,C2
Her parents were killed in a plane crash.,A2
"Before they turned off the light, he saw disappointment and reproach in their eyes.",C2
If you can't afford it you can just wander around the city and enjoy meeting people.,B2
"Personally, I think the show is going to be a great success.",B1
The terrorists in the film are very cruel and also have an atomic weapon.,B1
"Maybe these new activities (video - video games), which are quite distracting, are at the same time so addictive that youngsters find it hard to put a stop to it.",C1
"There are many very old houses with a lot of character and charm, which are just perfect for a photographer.",B2
"Jane: Be patient with her, she is a lovely lady, although she doesn't like people to contradict her.",C1
In spite of his criminal background I came to believe that man and also like him.,B2
One of the best things when you turn 17 in Britain is that you can start to take driving lessons.,C1
Bedrooms were quite spacious with a lot of light as well as a TV set and a direct phone line.,B2
"I like watching documentary films about animals (especially, about dolphins and elephants, like you do).",B1
"If you need help, I'm prepared to fill out some of the paperwork.",B2
"In my opinion, as the town is not so big it will be enough to adapt the two areas outside the town walls and to use them for car parking.",B2
"They're currently at the top of the charts with their single ""Enough.""",B2
"For if we refer back to the poem, Mother Teresa certainly displays all of the qualities mentioned in that poem: on most of the photos showing her, she is smiling radiantly, her wrinkled face shining with bliss.",C2
I hope our two companies can resume their excellent cooperation in the future and I am looking forward to using one of your aircraft again.,C1
Both stories are written in a very warm tone; the writer has an obvious sympathy for people who are suffering and he has an extremely negative attitude toward the cruelness of the modern world.,C2
He is on antibiotics for an ear infection.,C2
"When there was no sign of the children, the rescuers feared the worst.",C2
"Despite the fact that Rome is a busy city, you can find quiet places like Broccian lake and the seaside in Ostia.",A1
The train runs hourly on weekends.,C1
Hold on - I have another call coming in.,B1
Her argument lacks any coherence.,C2
"Yes, It's true I bought it on Saturday.",A2
The food was excellent.,A2
She was told to stay in bed to rest her injured back.,B2
"Public places like the Zoo or the Botanic Gardens are closed, which effects tourists much more than the local people.",C1
He had no recollection of the incident.,C2
There's a strong possibility of rain this afternoon.,C2
I think playing basketball is good for you.,A1
You've only got one life and it's a sin to waste it.,C2
"And I'm going to replace the desk, because I don't] have enough sp]ac to put a computer onto it.",B1
"At that point, my tour finished and I returned home.",B2
In many countries it is the convention to wear black at funerals.,C1
"Your description of the people, their everyday life, their characters and their friendliness reflects that you really had an excellent time here.",B2
I can't believe he would say such a thing!,B2
"But in the new class, it is totally different.",B1
The twigs snapped as we walked on them.,C2
She was complaining about all the sex and violence on television.,B1
Can I be of any assistance?,B2
I waved at her to get her attention.,B2
Education is the current focus of public debate.,B2
I can't help laughing when I think about what happened to you both!,B1
I would like to visit the lake and swim in it.,A2
Not even in my wildest dreams could I have imagined that finding a diary was to have such fortunate consequences for me.,C2
We're losing a lot of our clients.,B2
"In the evening I got a flat tire, and because of this I got late to the show, when I got to my place, it was used (it cost a lot) and they took me to the cheapest seats, where I couldn't see a thing.",B2
He's always wanted to go into teaching.,B1
Sam hurt his knee playing football.,A2
I hope you will take my advice to heart.,C2
She has a real weakness for ice cream.,C2
He reacted angrily to her comments.,B2
I think that with this journey I will learn how other people live and I will also learn to value the things I have.,B2
How on earth can you have a coach without a toilet?,C1
"Some good advice is: first of all get yourself a good bicycle, a helmet and some protective clothes, in case the weather changes.",B2
"It's a silver lighter, with a little spider on, that my best friend bought me for my birthday.",B1
I tried to catch up with the guide and the other tourists.,B2
"Unfortun[a]t[e]ly the phone was locked, so you had to type in a password to use the phone.",B1
"On account of systematic and thorough rationalization in almost every sector of Western economics, workers are not needed as they were in the fifties or sixties.",C2
"After full consideration and consultation of the three groups of people mentioned above, we come to the result that charity workers should have the opportunity to present the work they are doing on TV.",C2
The pattern begins to go upward from 2002 to present with only 35-49 groups and 50+ groups.,C1
The meat was inedible.,C1
She is running faster than ever.,C1
But I didn't invent the story - everything I told you is true.,B2
He's an extraordinary person and the TV viewers will love him because of his good sense of humor and his honesty.,B2
"I've eaten so much, I'm really uncomfortable.",B1
It was a joyful reunion and everybody was grateful to have all misunderstandings out of the way and to be one big family once more.,C2
A large map of Cyprus holds a prominent place in his store.,C2
It's a movie about the adventures of two friends traveling through Africa.,A2
Several printing presses are in operation at the moment.,C1
I saw my reflection in the window.,B2
I can't figure out why he did it.,B2
"It is a bit dark inside, and especially in winter, it is dark before you know it.",C1
"He was misunderstood by the adult world, he only wanted to be away from everybody, he wanted to be all by himself.",C2
He's got a certain charm.,B2
"Although money is the main motivation, for many people, to work, I have come across many people who have worked voluntarily or for less money to gain relevant experience.",C1
"When we have a special day we also cook manto, which is made from meat, vegetables and bread. You must pour some mint juice on top and to be more delicious, you must add chili.",A2
"Now it all clicked into place... Those flimsy excuses he gave her: ""No, this Saturday I can't make it.""",C2
Yoga is a very relaxing activity but not boring at all!,B1
"What is more, it helps to face problems which could occur during the hunt for a ""lifetime"" job.",C1
I've got some bills to settle.,C2
The factory burned to the ground.,B1
Who would have thought that buying a house could take so long!,C2
All your hard work has obviously paid off!,B2
The jury chose an unexpected winner for the literary prize.,C1
He'd piped fresh cream around the edge of the cake.,B1
"Then, when your booking form landed on my door mat, I decided to take matters into my own hands and to pay a visit to this conference.",C1
Please insure that your name is at the top of your examination paper.,B2
"Further personal strengths are good communication skills, being a good team player and flexibility.",B2
I was impressed by her professionalism.,B2
You should wear old clothes and a pair of boots.,A1
The power of the brush strokes and the intense energy in the image made me sigh with adoration.,C2
I will buy episode III as it is the only one that I need to complete my collection.,A2
The violent storm was rocking the ship back and forth.,C2
"In my opinion, Burgers' Bush, Safari & Zoo in Arnhem has found the perfect solution. The actual zoo is rather small but each animal has a lot of space for running or wandering around.",B2
We have to leave promptly if we want to catch that train.,B2
"The south and the southeast are the backbone of the Brazilian economy so there are lots of malls, department stores and very good nightlife.",B1
"However, it is expected to rise to a staggering 98% in 2010.",C1
George was looking outside when something broke the silence.,B2
It's a ridiculous idea - I've tried to talk him out of it.,C2
"During late winter evenings when you are snowed under at work, this positive change is what keeps you going.",C2
I had studied psychology but I couldn't find a job relevant to my studies.,B2
The business is looking up and I have to cook many more things.,C1
We stayed in the French Quarter in New Orleans.,C2
I don't have time to go and anyway it's too expensive.,B1
He wrote her e-mail address down on the back of an envelope.,A2
"It might be true that what is considered to be healthy or unhealthy changes over time, however, as science progresses the margin of error becomes smaller, and experts are then able to have a more accurate and precise say on all matters, including health.",C2
"It all happened that day when somebody brought me huge and heavy documentation … So many new and uncommon words, definitions of the equipment that enterprise has on stock, so much law and legal terminology! And the thickness of all that to top it off!",C2
I had to make a speech at my brother's wedding.,B2
I hope you pass the exam.,A2
Try restarting your computer.,C1
"Hurry up, or we'll miss the bus.",B1
There's a striking resemblance between Diane and her mother.,C2
Do you go to London much?,B1
"Finally, I think it would be an omission if I didn't mention the children that live in poverty and die from starvation and diseases every day.",C2
The museum owes much of its success to the present generation of young artists.,C2
I prefer teaching methods that actively involve students in learning.,B2
"Paul said something repulsive, with a cold light in his eyes, and it made her blood boil.",C2
"I think that the development and implementation of new energy-saving technologies may contribute significantly to the prevention of further air, water and soil pollution.",C2
"During a Chinese wedding ceremony, new couples wear traditional clothes and hold a party for friends and families getting together.",B1
"To support the idea of making a short video about daily life at our school I have spent some time discussing it with other students, observing and analysing an average day in our school.",B2
"If you treat your staff differently, it just causes resentment.",C2
"At the time, they couldn't cure the disease.",B2
"We have more time to stay together at home, because we can access the internet at home.",B2
She's extremely right-wing.,C2
The network was down all morning.,C1
The Japanese recycle more than half of their waste paper.,B1
In the future the key word for fashion will be comfort as this is basically what everyone has been wanting all along.,B2
His person emanates caring and sympathy. He is tactful and sensible.,C2
"Children can look at live fish, crabs and lobsters.",B2
There's a narrow alley which divides our house from the one next door.,B2
"It suffered a major loss over a period of 15 years, roughly from 1978 to 1994.",C1
I hear she's going to Africa for some trekking.,B2
He lacks empathy.,C2
I'm fine.,A1
The cups belonged to my family long before I was born and the fact they are a part of my family tradition makes them valuable in my eyes.,C2
He claimed that the restaurant bill was a legitimate business expense.,C2
"She had started doing this 15 years ago, when mounted warriors, clad in black armor, had raided the farm she, along with her parents and three older brothers, had lived on.",C2
My father brought me a bicycle and my mother gave me a baseball bat.,A1
They were thought of as slightly eccentric.,C1
I'm looking forward to seeing you soon.,B1
"Despite the language barrier, they soon became good friends.",B2
You can enjoy both traditional and contemporary performing arts in Osaka.,B2
There is a well-equipped gym which is supervised by experienced staff.,C1
It seems these ants can tolerate temperatures which would kill other species.,C2
It is important for me because I don't have any other watch and I need to check the time to take my medicine.,A2
"Both the coffee bar and the shop will generate revenue, be self-sufficient and, more importantly, create jobs for the college students.",C1
From the top of the skyscraper the cars below us looked like insects.,A1
I respect him for his honesty.,B1
The Yanomami people live in the South American jungle.,B1
Sometimes I want to relax and lie down on the bed to watch TV.,A2
"I think you should go to the school in the center of the town; as you wrote, it's bigger, so you'll have the opportunity of making a huge quantity of friends!",B1
I mostly watch television in the evening.,A1
This road is very busy on weekdays.,A2
The quality of the individual classes differed substantially.,C1
He threw his clothes on the floor and got into bed.,C1
He looked at me with a puzzled frown.,C2
"For instance, a perfume might make men irresistible to women, or vice versa.",C2
Most people are in favor of reducing traffic in cities.,B2
There were twenty people there altogether.,B1
"They danced until they were so tired that they fell to the ground, still laughing and gasping for air.",C2
A direct consequence of this is that adults misinterpret their intentions and object to youth's lack of respect.,C2
The decision has already been made by general agreement.,B2
I really missed her when she went away.,A2
"She claimed $1,200 on her expense account.",B2
"But by using much larger desks, we will be able to use the equipment more efficiently and this will reduce the cost for the replacement of broken equipment.",C1
"As you might suppose, I couldn't believe my luck when I found out that I'd won first prize in the competition.",B2
At forty he was already at the top of his profession.,C2
I would really appreciate it if you could send me a booklet describing all outdoor and indoor activities.,B2
"Last but not least, the fact that he managed to reconquer the realm of rock music for the German tongue lends itself to being displayed, together with similar efforts by bands like Aurhefu, who achieved a similar ""resurrection"" for the Welsh language.",C2
They're more expensive than I expected but I prefer quality to quantity.,B1
For me it is the best way to relax after a tiresome day full of anxiety and responsibilities.,C2
"As far as money is concerned, I think that people who only care about earning lots of money do not wholly understand the question.",C2
"After the first lesson, I changed my mind.",B1
I got a CD-player and a new album by U2 and a new book by Jeanette Winterson.,B1
I must make a telephone call.,A2
"The museum's advertisement promises an exciting experience, so students were surprised to find so many obsolete machines of no interest.",C1
"While the surroundings are very elegant, this is one restaurant where the food and its presentation is of paramount importance.",C2
We need to pause and take stock of what still needs to be done.,C2
I want to sell my scooter.,A2
I heard larger t-shirts are selling for €35.,A2
We're open between 9 a.m. and 5 p.m. daily.,A1
Who will inherit the house when he dies?,C2
Add four ounces of butter.,C1
"By hitting the bark of trees or hollow pieces of wood rhythmically, prehistoric humans tended to communicate or entertain themselves.",C2
"Not a movement, not a voice, just an awkward silence.",B2
We covered 150 miles in four days.,B2
There are several options you can choose from when push comes to shove.,C2
"When you go out of Kilburn station, you turn left and you go straight.",A2
I think I've broken your camera.,A2
Their three-year romance never went smoothly.,B1
I cleaned out the fridge this morning.,C2
We're going skateboarding at the park later.,A2
You can always stay with us if you miss your train.,B1
But the animals themselves are being kept away from their natural environment in captivity.,B2
"In front of these big towers, I feel like a tiny insect!",B1
"In the world we live in today, jobs have become much more difficult to come by.",C2
The exam itself was a piece of cake.,B2
"At a signal from their teacher, the children all held up their flags.",B2
I would like to be compensated for the extra work I have done to please the guests from the last stay.,C1
The Panama Canal provides a crucial shipping link between the Atlantic and Pacific oceans.,B1
"For the first time, I could do exactly what I wanted, without any restrictions.",C1
I prefer summer clothes because they're less heavy than the winter ones.,A2
Have you seen Marian recently? Does she still going out with Robert? What a neat couple they were.,B2
"He represented himself as an expert, but his facts were all wrong.",C2
He sat in the corner like a terrified child.,B1
What's the best method for solving this problem?,B1
Something must be done to stop the fighting.,B1
"The problem is actually that to get access to this kind of program, one needs to buy special equipment, which is still quite expensive and bulky.",C1
"Then I am going to buy those glow-in-the-dark stars to stick on the ceiling, so that at night, I can see stars.",B1
"When Helen criticized me, Chris came to my defense.",B1
These new routes will give the airline an advantage over its competitors.,B2
There was dead silence as the votes were counted.,C2
Stop gossiping and get back to work!,B2
The table below shows the results of the experiment.,B1
What he says is true up to a point.,B2
"We will have less anxious residents in cities, who will not hurry to go to work or will not be late home or at the office.",B2
The factory pays fair wages.,B1
Many people never get any exercise.,A1
"Ever since the beginning, since the day when Olivia met the Nawab for the first time, she felt an i]nexplicabl attraction toward him.",C2
The main actor is very handsome too.,B1
What really touched my heart and prompted me to write this letter was the recently published series of articles about favorite possessions.,C2
We'll be home in no time.,C1
"There are those who remain true to every sport's true goals, the pursuit of excellence in whatever sports one competes in.",C2
Heather's landlady lowered her rent when she said she might move out.,B2
Children make up a large proportion of the world's population.,C1
The new art class after school is on Wednesday.,A2
"If you come to visit me, I'll invite you to ""La Provincana"" to have traditional Argentinian food.",B1
"These people tend to forget the essence of man's heart, which craves only for love, and kindness, and friendship, and loyalty.",C2
I get a real thrill from speed.,B2
Skiing downhill in deep snow is the most rewarding experience.,C2
My letter of protest was just a drop in the ocean.,C2
She has an air of superiority.,C2
He has a very bad attitude toward work.,B1
The review exposed widespread corruption in the police force.,B2
Did you clean the inside of the car?,B2
"Not only did we reach our target figure but also, 85% of the revenue generated went to the hospital, and only 10% and 5% were for entertainment costs and administration costs, respectively.",C1
Did you take their number?,B1
"All at once, they abandoned their sacks of stolen property and ran for their lives!",B1
She set it beside her husband's picture and looked at it thoughtfully.,C2
Could you play that last track again?,A2
Lord Trimingham remains calm throughout the story whereas Ted Burgess seems quite irritable and impulsive.,C2
"They do learn something of course, but it is crystal clear that they need some help from you to develop their ability, creativity, sensitivity and so on.",C2
The weather took a turn for the better.,C2
There's plenty of parking near the theater.,B1
"As a coach, he says, he often gleans wisdom from his students.",B2
I may require some training or orientation should you be using specialized cleaning tools or equipment.,C2
The team's continued involvement in the competition is uncertain.,B2
We were shocked by their greed.,C1
Facts and dates are dry and empty if teachers are not able to bring them to life.,C2
"As I couldn't simply get up and go away, I just had to grin and bear it for a little while longer.",C2
"Lately I've decided to pick up my old hobby, since I have kept paying for my amateur-radio permit annually.",B2
"As this is a loophole in the law system, it's creating a conflict between house-owners and squatters and getting them nowhere.",C2
"Ever since I missed that catch, the other players have been giving me a hard time.",C2
"She told me that along the road there are several places to visit, like a castle which is open to the public.",B2
"Could you set the table for me, please?",B1
It's just as well we brought an umbrella.,C1
"Although individually we try to deliver the best care possible for our individual patients, we do keep an ear or an eye out for the other members of the team that day.",C1
"If the date of the meeting is unsuitable for you, just inform me.",B2
Many of these children come from broken homes.,C2
I am very anxious for you to tell me what type of competition you managed to win.,B2
I rarely go shopping for clothes.,B1
We all chipped in to buy our teacher a present.,C2
It was as if an external force was stopping him from playing the notes.,C2
Even the company chairman concedes that the results are disappointing.,C2
"Bob Wilson, the chief accountant, had resigned.",B2
The feeling of anger they first had disappeared and gave way to a feeling of disappointment.,B2
He made a number of accusations against his former colleagues.,C1
Many new suburbs were built in the fifties.,B2
"When Jo told me she had a twin sister, everything fell into place.",C2
We want to help you by bringing drums and some of the musical instruments.,A2
In this lonely place strange things happened.,B2
"Dear Hla, I've left my computer software book at your home.",A2
I have to pick the children up from school.,A2
I'd been trying to sleep to find relief from the pain.,C2
They've had an alarm system installed at their home.,B1
I like rock music.,A2
"We watched a DVD called ""Minority Report"" with the actor Tom Cruise.",A2
I got a big mug for my birthday.,A2
"Additionally, some uphold the view that people living in the countryside face greater problems than those in towns.",C2
"Everyone needs something sweet from time to time. Go ahead but don't eat it too often, eat more fruit and vegetables!",B2
She's divorced.,B1
"We were like a pack of wolves, only puppies at the time though.",C2
I had to give a speech on very short notice.,C1
"Until the court hearing, they will remain behind bars.",B2
"Don't get me wrong, I love my aunts, I really do, but not as houseguests.",C2
"That was not only extremely uncomfortable, but also inconvenient and not very hygienic.",C2
She works in television.,B1
There are too many variables and happiness may also depend on the social background of a person.,C1
The phone's ringing.,B1
Our software solutions are oriented towards the corporate sector where we are recognized as market leaders in this field.,C1
"In a comparative study we see the work force is increasing in Japan, whereas it is declining in U.S.",C1
Let me answer that question directly.,B2
Get in touch soon.,B1
"In the evenings they usually attended boring dinner parties, where bland, soggy food was served, and the other guests were at least 20 years older than her and rather snobbish and stiff.",C2
As you know I am employed in a travel agency and last week I started my new English class.,B1
The singer remained in the hotel for the duration of his stay in the UK.,C1
She seemed cold and distant.,C1
"Finally, there should be a person who should be held accountable and is accessible to our complaints.",C2
The images came up on the screen.,C1
"However, the Astro singing competition is different. The winner will be decided according to the marks given by the judge.",B1
I left my textbook in your house.,A2
It was a fairly gentle climb to the summit.,C1
I don’t dispute that his films are entertaining.,C2
Lucy is all muddled and confused.,C2
Why don't you take him along with you when you go?,B1
"In July I'm going to get married to my girl friend, and the wedding ceremony is on 7th of July.",B1
The government has been slow to react to the problem.,C2
"You'll also be able to go out to pubs or night clubs, and you'll spend a very small amount of money.",B1
I need it back because it belongs to my cousin.,A2
They had a disagreement about money.,B2
They're talking about building a new fire station downtown.,C2
It remains to us to prove that the opinions of some scientists are far-fetched and don't hold water.,C2
"I saw my chair, my carpet... and my door handle!...",B2
The suitcase snapped open and everything fell out.,C2
I write to seek your intervention in a matter that has seriously impacted on the reputation of your retail business.,C2
He's a DJ on Radio 1.,B1
He became a professional athlete at the age of 16.,B1
She's very interested in the supernatural.,B2
We ran until we arrived at the police station where we gave a detailed description of that man and what had happened.,B2
Think of a number smaller than 100.,A1
He recited the poem from memory.,C2
She cut her finger on some broken glass.,B1
"Their life was a severe financial struggle, and Tom's dream was to run somewhere far away.",B2
The road had been dug up in order to lay cables.,B2
I feel like I've been here for ages.,B1
He's very fussy about keeping his car clean.,C2
You will most likely not get there before 2:30. Welcome!,C1
"If we get rid of the factories to save the river, it is obvious that our economy will be weakened.",C1
"In the museum, there were a lot of interesting things, such as a telescope (very big), space ship, and some clothes for wearing in space.",B1
"Well, this church was extremely simple o] the outside, but when I got inside it, I couldn't believe my eyes.",B1
The accident was caused by her clumsiness.,C2
I think it's best to spend your time visiting our coast in the North East of Brazil.,B1
"Sudden, loud noises scare me.",C1
"Walking out of the station he saw her! Tall, blond and with eyes that could melt ice.",B2
"Although not being directly involved in global politics anymore, he is still a very powerful and influential person.",C1
"Local markets are broken down to make way for shopping malls, which sell items for the brand conscious population of today.",C2
"She's a single parent, with 3 children from Australia.",B1
Send me a text when you get there.,A2
Most bosses take a dim view of long lunches.,C2
"Their lessons are valuable, rich in knowledge and funny.",B2
I looked into his room but he was still fast asleep.,C2
Please reply as soon as possible.,B1
"I couldn't believe it and while I was wondering if this was a dream, Mike Skinner, my hero, appeared and instantly started chatting with me as if we had been friends for years.",B1
We bought a new leather sofa.,A2
The outside of the house needs to be painted.,B2
It'll be such a relief when these exams are over.,B2
"What if she never had another chance? What if she missed the boat? Overcome by the anxiety and the lack of sleep, the first thing she did in the morning was to pick up two of her best poems and put them in an envelope.",C2
"The weather on this mountain is fantastic, with an average temperature of 17°C.",B1
I decided to visit a museum which has a special display on Friday.,B1
We traveled west.,A2
I would never knowingly hurt her.,C2
I don't eat meat.,A1
I changed cars several times to fool the police. It worked very well.,B1
"And sure enough, these challenging problems come unsolicited most of the time.",C2
"Neil denies that he broke the window, but I'm sure he did.",B2
We end up doing our things in such a mechanical way that the actual spirit of doing dies in us.,C2
What's the difference between an ape and a monkey?,A2
I already asked a friend of mine to pass me the notes and to mail me the homework.,B1
"I spend a lot of time in Dallas, but Chicago is still my base.",C2
I've got three sisters.,A1
After a few weeks of training he was fully integrated into the team.,C1
I will talk to you on the phone in a week['s] time as I don't] have enough credit.,B1
"A student was taught how to lead negotiations with a business partner regardless of their age, nationality, race and culture.",C1
We met before school at 8 o'clock in the morning.,A2
You can buy a one-day bus pass and you could visit many monuments and picturesque places.,B1
He decided on the spot that if Paul was to return all the money he wouldn't press charges so he called his parents and asked them to find out where he was.,C2
Appearances can be deceptive.,C2
The company has made cutbacks and closed one of its factories.,C1
On[e] of his stories was published by the weekly newspaper.,B1
Perhaps the style of their dress will indicate their position in society too.,B2
"What is really amazing is that Biko, who is banned but ""free"" of any prejudice, who doesn't discriminate against anybody, ""frees"" Mr Woods (who is not banned) from his narrow-minded and intolerant views and gives another aim to Woods' life.",B2
The UN is supervising the distribution of aid by local agencies in the disaster area.,B2
"Far in the south of Chile, you will find the smallest deer of the world called ""Pudù"". It is only 25 cm. tall, doesn't have big horns and eats fruit.",C1
"Furthermore, there are a few qualities, which would attract me to someone, they are not essential, though: I would rather have someone as a friend who is vivacious and gregarious than someone who is withdrawn and retiring.",C2
I think it's important to learn English for my career in the future.,B1
You should call the doctor if the pain returns.,B2
I have a copy of the report on my desk. By all means have a look at it.,C2
She works in child welfare.,C2
"Could you turn the volume down, please.",B1
My family backed me up in my fight for compensation.,B2
Nobody loves you when you're down and out.,C2
I hope that you accept my apology.,B1
Moreover she can't cope with life.,B2
Damage to the building was minimal.,C1
The shirts are selling for $30 each.,A2
"True artificial intelligence, one of the most terrifying dreams of man, is yet to be discovered, but we must handle it with great care if we don't want to suffer the consequences of a world in which machines start to think for us, this making our existence completely pointless.",C2
It was really stressful because I wanted to prove that the level of my English is high enough for this class but I was too nervous to speak correctly.,B1
"TV has taken over as the dominant activity for leisure time, providing something for everyone.",C2
That is the central thesis of the book.,C2
"Actually, there was an attempt to cut down on using and producing sprays which destroy the ozone layer.",B2
The amazing thing about him is that he takes pride in his appearance and the image others have of him.,B2
The institute will invest 5 million in the project.,B2
"In Kish or Aeshm you can buy electrical devices cheaper than in your country, because you can buy all goods without tax.",B1
"The dancing and the horse shows were indeed cancelled, as a precaution out of fear of the weather becoming even worse.",C1
I like chocolate and ice cream with fruit.,A1
Her specialty is heart surgery.,C1
Our plans to go on vacation together fell through when Jamie got sick.,B2
They do a very tasty breakfast.,B1
"As the years went by, she found it hard to cope with her slow headway in classical piano and her endlessly unfinished songs played by ear.",C2
"Dear Joshua, I'm writing to tell you that I am now thirteen Years old.",A1
Most couples put their children first.,C2
"You can visit the castle of Isabel II, a Spanish queen.",A2
"There was plenty to do, and the time flew.",C2
